State,District,Crop,Seed_Variety,Rainfall_mm,Temperature_C,Soil_pH,Soil_Moisture,Humidity,Irrigation_Count,Previous_Yield_kg_ha,Area_Hectares,Yield_kg_ha
Telangana,Khammam,Sugarcane,Co-94012 (South India),519.9316572956194,24.21818796913014,6.57,18.3,59,5,5449,4.48,80164.78
Punjab,Patiala,Wheat,HD-2967 (North-West India),971.873090057204,26.907300196354058,6.71,22.6,52,4,3503,3.47,4483.54
Uttar Pradesh,Lucknow,Cotton,RCH-659 (South & Central India),,30.605408230965235,,,58,3,2378,2.68,2928.49
Andhra Pradesh,Nellore,Sugarcane,Co-94012 (South India),777.452273442828,30.678316043917487,7.23,33.1,64,0,3873,1.8,79643.68
Punjab,Amritsar,Maize,HQPM-1 (Karnataka/AP),,17.756993216706654,,,59,4,4836,3.46,3330.0
Uttar Pradesh,Kanpur,Rice,IR-64 (Andhra/Telangana),535.6815854501367,33.54099300733018,6.85,39.0,60,6,4921,1.06,4249.99
Uttar Pradesh,Agra,Maize,HQPM-1 (Karnataka/AP),898.330356736832,30.074484144059,6.79,21.4,59,1,2905,3.87,3887.3
Telangana,Warangal,Cotton,Bollgard-II (Maharashtra),761.48890397798,28.12383910366769,7.34,33.2,58,4,4464,3.98,1505.58
Maharashtra,Nagpur,Rice,IR-64 (Andhra/Telangana),1315.7284137468607,24.452750231616665,7.36,27.5,52,0,6219,1.23,5004.42
Karnataka,Belagavi,Cotton,Bollgard-II (Maharashtra),908.2539692337148,26.91502370543008,6.59,33.1,73,1,2129,2.53,1675.68
Punjab,Ludhiana,Wheat,HW-2045 (North India),819.5057524814551,30.303337492554043,7.09,24.5,85,4,6930,2.32,3390.4
Maharashtra,Pune,Cotton,JKCH-1947 (Gujarat/MH),1033.1577835942658,27.479342151878072,6.54,30.1,69,1,1841,4.57,2051.35
Uttar Pradesh,Lucknow,Rice,Sona-Masoori (South India),578.9676168545395,33.30625939242824,6.28,39.3,75,3,4917,2.25,3928.5
Uttar Pradesh,Kanpur,Cotton,Bollgard-II (Maharashtra),1118.7177188273042,29.14071322139728,5.89,20.5,52,0,1587,1.37,1280.38
Telangana,Khammam,Wheat,PBW-343 (Punjab/Haryana),1131.024485241557,32.75944253220469,5.73,14.7,64,2,5554,3.8,3921.8
Karnataka,Dharwad,Sugarcane,Co-94012 (South India),530.036164245194,28.195252429855906,7.82,20.1,48,3,6748,2.15,79911.27
Telangana,Nalgonda,Sugarcane,Co-0238 (UP/North India),837.7572103872096,24.065454328606624,6.17,25.4,45,3,1699,3.8,79848.14
Uttar Pradesh,Kanpur,Maize,HQPM-1 (Karnataka/AP),1100.008122456657,28.38987205702816,6.56,37.4,76,5,2585,1.11,4390.26
Maharashtra,Aurangabad,Cotton,JKCH-1947 (Gujarat/MH),1022.3177306230208,27.26308410948425,7.59,17.5,53,6,2623,2.6,1340.69
Karnataka,Belagavi,Wheat,HD-2967 (North-West India),788.4003752961211,30.879507455776142,6.02,39.5,31,3,2891,2.9,3861.49
Telangana,Warangal,Maize,NK-6240 (Maharashtra/AP),767.3549110881977,27.309807056371724,6.0,35.8,66,6,6840,0.55,4544.74
Maharashtra,Nashik,Cotton,RCH-659 (South & Central India),985.153415907862,28.80491342042375,6.52,37.0,53,3,5012,1.83,1034.7
Telangana,Nalgonda,Cotton,Bollgard-II (Maharashtra),808.8479320255614,30.657203863774463,5.23,11.9,51,3,3023,4.93,1240.61
Maharashtra,Nashik,Maize,NK-6240 (Maharashtra/AP),929.1388215709312,22.822750768552588,5.5,37.0,79,2,3646,1.48,4190.24
Punjab,Jalandhar,Rice,MTU-1010 (AP/Telangana),1033.4550175629756,32.052321783679616,7.18,33.0,73,7,5025,0.51,5488.34
Karnataka,Belagavi,Wheat,HW-2045 (North India),978.121249549326,21.27426394529686,6.3,34.1,69,3,3923,2.61,3975.4
Karnataka,Dharwad,Cotton,Bollgard-II (Maharashtra),1495.4955923521456,28.296135437582443,6.89,39.8,60,4,3025,2.9,2038.51
Punjab,Ludhiana,Cotton,JKCH-1947 (Gujarat/MH),617.9911444228342,29.53567704577968,6.65,28.0,54,3,3523,4.47,1581.96
Telangana,Khammam,Cotton,Bollgard-II (Maharashtra),619.9004720247982,30.833121408157865,5.24,38.7,72,4,6510,1.96,1014.52
Karnataka,Dharwad,Maize,Kaveri-50 (South India),852.8957882728184,28.95482180388512,7.11,32.4,67,3,3065,0.82,3879.54
Uttar Pradesh,Varanasi,Rice,IR-64 (Andhra/Telangana),814.6546909632729,27.069041430699748,7.06,36.4,74,5,2297,2.22,4956.76
Karnataka,Bengaluru Rural,Rice,IR-64 (Andhra/Telangana),645.3130498464556,29.353151958312885,6.83,11.4,70,3,1993,1.57,3647.04
Telangana,Nalgonda,Wheat,HW-2045 (North India),1036.8126107668468,26.69341484397365,6.36,9.2,78,5,3115,2.12,4481.35
Maharashtra,Nagpur,Rice,IR-64 (Andhra/Telangana),1177.611486047325,29.237403489425432,6.93,29.3,58,0,5199,4.08,5334.07
Karnataka,Belagavi,Sugarcane,Co-94012 (South India),988.9878037110816,35.51411234565667,6.41,18.7,65,1,6917,2.55,80613.1
Karnataka,Dharwad,Rice,Sona-Masoori (South India),766.6091627960094,29.00399087447267,6.0,12.5,58,6,6404,3.96,5388.63
Telangana,Nalgonda,Rice,IR-64 (Andhra/Telangana),946.7317631386244,31.9869242683184,6.45,30.3,68,4,5689,3.69,5088.42
Uttar Pradesh,Agra,Rice,Sona-Masoori (South India),762.8275480901445,29.577525305361192,7.13,37.0,56,2,2028,1.87,4330.76
Uttar Pradesh,Lucknow,Maize,NK-6240 (Maharashtra/AP),827.7927805553703,24.713952913858343,7.04,39.4,77,6,3889,2.66,3519.33
Uttar Pradesh,Agra,Maize,NK-6240 (Maharashtra/AP),1120.386254906391,28.638518982512394,5.67,12.6,67,3,4214,1.53,4863.98
Andhra Pradesh,Nellore,Cotton,Bollgard-II (Maharashtra),808.4397309831695,26.767494696888487,6.75,16.9,68,4,6692,3.45,1334.11
Uttar Pradesh,Lucknow,Maize,HQPM-1 (Karnataka/AP),875.2818435851294,25.09922923617634,6.78,18.5,77,4,4009,2.61,4487.02
Telangana,Nalgonda,Rice,MTU-1010 (AP/Telangana),1457.8740838006163,26.266323690446733,6.27,21.4,68,7,2997,2.91,5986.34
Telangana,Khammam,Wheat,HW-2045 (North India),745.4007867598368,28.224088854148768,7.3,17.0,65,2,1527,4.31,3157.7
Karnataka,Mysuru,Cotton,RCH-659 (South & Central India),1177.3019956466826,25.36422757611751,6.91,38.3,78,2,1901,3.27,2010.88
Telangana,Khammam,Rice,MTU-1010 (AP/Telangana),956.8284488730797,23.683627304173964,7.47,20.6,67,0,6022,2.91,5127.14
Karnataka,Dharwad,Sugarcane,Co-94012 (South India),1344.9154717719225,29.445956017915485,6.13,27.9,69,0,2429,1.06,81114.28
Uttar Pradesh,Agra,Rice,IR-64 (Andhra/Telangana),721.6324876776832,33.29401578316092,5.99,34.9,56,2,4616,1.85,4009.63
Telangana,Khammam,Cotton,JKCH-1947 (Gujarat/MH),853.0264441778403,29.0050772595256,6.25,26.0,68,2,4342,0.6,1248.06
Uttar Pradesh,Kanpur,Cotton,RCH-659 (South & Central India),1159.4927239260924,28.440530495740244,5.67,10.9,80,3,4378,3.25,1778.09
Maharashtra,Nashik,Maize,NK-6240 (Maharashtra/AP),982.5947044404206,25.03562988843229,6.27,32.0,54,0,6613,2.47,4244.29
Punjab,Patiala,Sugarcane,Co-94012 (South India),961.8739759795068,26.03858442456905,6.89,14.5,61,6,1870,2.75,80913.57
Maharashtra,Nashik,Cotton,Bollgard-II (Maharashtra),783.9873434341699,25.85378302231664,6.77,8.2,61,1,3876,2.8,990.99
Karnataka,Mysuru,Sugarcane,Co-94012 (South India),1055.114950615584,26.86019106893568,6.34,30.4,65,5,6001,0.91,81154.52
Uttar Pradesh,Varanasi,Maize,Kaveri-50 (South India),787.2886504119459,26.982221901386776,7.04,8.1,77,1,3268,2.12,4375.27
Maharashtra,Aurangabad,Rice,MTU-1010 (AP/Telangana),626.1908948499508,23.07808561107969,6.21,26.7,73,4,4683,4.17,4215.28
Andhra Pradesh,Nellore,Cotton,Bollgard-II (Maharashtra),4152.038670481863,29.37770704492465,6.53,11.8,80,7,1801,1.25,2564.4
Karnataka,Mysuru,Maize,HQPM-1 (Karnataka/AP),718.1337983864302,31.761418076827503,6.26,19.5,65,6,1507,1.54,4344.21
Punjab,Amritsar,Wheat,PBW-343 (Punjab/Haryana),1077.7615256363258,23.401356361183645,7.78,30.0,73,4,6332,3.38,4819.19
Andhra Pradesh,Nellore,Cotton,RCH-659 (South & Central India),951.3533176144376,31.731802393049016,6.86,38.0,69,1,2882,4.44,981.21
Karnataka,Mysuru,Rice,IR-64 (Andhra/Telangana),419.746715294186,29.79571698880593,5.72,22.6,72,0,1668,4.28,3754.41
Maharashtra,Nashik,Wheat,HW-2045 (North India),1408.6872895381475,30.37547443618615,6.91,28.7,81,6,5576,0.52,5376.19
Punjab,Patiala,Cotton,Bollgard-II (Maharashtra),524.4027545776207,27.87515262673845,6.7,34.7,67,0,3768,1.81,1435.84
Telangana,Warangal,Maize,HQPM-1 (Karnataka/AP),954.1423265427214,27.907659270521965,6.94,18.4,66,7,3916,0.82,4510.91
Karnataka,Belagavi,Cotton,Bollgard-II (Maharashtra),778.5419759044631,26.10508993435477,6.66,35.2,66,3,1911,4.21,1868.0
Uttar Pradesh,Lucknow,Maize,Kaveri-50 (South India),968.8579056258448,23.29393688090964,6.58,38.8,49,1,5302,1.66,4267.18
Telangana,Khammam,Cotton,Bollgard-II (Maharashtra),994.8165118226192,25.166170834667483,5.76,24.2,76,0,4763,4.32,1314.51
Karnataka,Dharwad,Rice,MTU-1010 (AP/Telangana),1071.9960026789067,24.6922165560005,7.24,37.0,52,3,5616,3.02,5328.36
Karnataka,Belagavi,Rice,IR-64 (Andhra/Telangana),1021.7461585754044,28.14423360332916,6.23,26.3,76,7,2553,0.59,5076.12
Punjab,Patiala,Sugarcane,Co-0238 (UP/North India),507.4852269688831,25.48078606607374,6.78,30.3,53,2,6913,3.93,79542.17
Andhra Pradesh,Krishna,Cotton,Bollgard-II (Maharashtra),751.9614771611107,24.04883315379717,6.05,39.1,66,1,4298,3.39,1041.93
Uttar Pradesh,Agra,Rice,Sona-Masoori (South India),1210.4127767483858,29.20498910707977,6.52,23.7,65,6,5190,3.77,5219.32
Karnataka,Bengaluru Rural,Maize,NK-6240 (Maharashtra/AP),1186.165364899904,27.375180712323576,6.79,34.2,45,1,3787,2.48,5349.89
Karnataka,Mysuru,Maize,NK-6240 (Maharashtra/AP),740.2948412944214,26.200232547338384,7.02,20.2,55,2,3492,3.23,3687.75
Uttar Pradesh,Kanpur,Wheat,HW-2045 (North India),866.9687812214589,22.31766977456158,6.38,8.6,65,6,4728,3.08,3872.69
Uttar Pradesh,Agra,Sugarcane,Co-94012 (South India),611.5490766910232,29.10552995820723,5.86,8.6,52,0,6611,3.24,79824.63
Karnataka,Bengaluru Rural,Wheat,PBW-343 (Punjab/Haryana),1398.0683679354015,29.92606531231028,6.74,10.4,56,6,4980,0.89,4708.93
Punjab,Jalandhar,Wheat,HW-2045 (North India),984.414199423491,28.957938165701663,5.86,9.5,67,5,1652,4.23,4278.39
Punjab,Ludhiana,Sugarcane,Co-94012 (South India),917.4579020735714,31.35544127519793,7.05,11.4,61,1,2579,1.49,80748.47
Uttar Pradesh,Lucknow,Cotton,JKCH-1947 (Gujarat/MH),794.9342363272307,28.27862701819865,7.2,15.0,62,7,4818,1.21,2103.12
Punjab,Ludhiana,Sugarcane,Co-94012 (South India),656.4476065277202,25.90957720662979,5.86,19.5,71,6,3928,2.6,80671.21
Maharashtra,Nagpur,Wheat,PBW-343 (Punjab/Haryana),1120.4241067394355,29.48194747820541,6.19,15.5,69,3,4331,2.2,4143.99
Karnataka,Mysuru,Sugarcane,Co-0238 (UP/North India),1140.653393677908,27.64713662949031,7.04,9.7,68,4,2915,4.39,80871.8
Uttar Pradesh,Kanpur,Cotton,RCH-659 (South & Central India),771.6279090564866,32.19961661160868,6.11,17.2,92,4,5472,3.23,1625.56
Uttar Pradesh,Kanpur,Wheat,HW-2045 (North India),730.7468203406413,30.055126047203647,6.74,32.5,70,3,3285,0.62,3953.07
Punjab,Jalandhar,Maize,NK-6240 (Maharashtra/AP),703.5981797188841,22.02286778337477,5.43,39.5,62,5,3150,2.08,3595.59
Karnataka,Bengaluru Rural,Rice,MTU-1010 (AP/Telangana),,29.081716363568475,,,65,1,6361,3.61,3932.51
Maharashtra,Aurangabad,Maize,Kaveri-50 (South India),573.2134333175668,32.44834137779776,5.69,28.3,72,0,5427,4.63,3547.39
Telangana,Warangal,Maize,NK-6240 (Maharashtra/AP),1006.229900598421,33.36827780966476,7.1,30.6,61,2,2138,2.93,4773.0
Uttar Pradesh,Lucknow,Maize,HQPM-1 (Karnataka/AP),722.432275422023,33.34284210841676,5.67,22.9,58,3,3110,2.81,3607.04
Punjab,Jalandhar,Cotton,Bollgard-II (Maharashtra),853.8048085786298,33.67708011259731,7.06,33.1,59,5,2193,2.13,1053.25
Maharashtra,Pune,Wheat,HW-2045 (North India),475.8160143122391,22.45157206917392,4.91,34.5,70,6,5735,0.76,3000.43
Uttar Pradesh,Varanasi,Wheat,HD-2967 (North-West India),748.5139592882273,27.637333191869907,6.55,17.7,69,4,5360,3.43,3421.52
Andhra Pradesh,Guntur,Rice,IR-64 (Andhra/Telangana),986.8789495567272,36.012094413130434,6.52,39.7,51,4,4015,2.61,4909.93
Karnataka,Mysuru,Maize,HQPM-1 (Karnataka/AP),882.0085867576034,24.268654034701783,6.64,33.3,67,7,6855,3.45,4358.59
Punjab,Ludhiana,Maize,Kaveri-50 (South India),1089.407143149386,28.96277131218228,6.74,31.5,63,7,5011,1.94,5567.58
Maharashtra,Pune,Maize,HQPM-1 (Karnataka/AP),713.938484715057,23.25347815381128,6.73,16.1,67,4,1881,1.18,4348.63
Uttar Pradesh,Kanpur,Wheat,HD-2967 (North-West India),855.8495702835143,32.31893167986602,6.62,17.3,71,2,5738,3.95,3343.39
Karnataka,Dharwad,Cotton,JKCH-1947 (Gujarat/MH),886.8187289412547,22.341125368683667,6.63,35.1,65,0,1659,3.03,1418.59
Karnataka,Mysuru,Rice,Sona-Masoori (South India),979.4594079936742,31.11776512187558,6.6,13.5,63,6,5282,4.13,4879.59
Karnataka,Bengaluru Rural,Maize,HQPM-1 (Karnataka/AP),887.6427399481294,29.27677534492753,5.84,27.5,58,3,5374,1.36,4487.55
Andhra Pradesh,Nellore,Wheat,HD-2967 (North-West India),1347.216623571017,21.947153247198248,5.56,37.5,82,7,5998,2.36,4826.67
Karnataka,Dharwad,Rice,Sona-Masoori (South India),595.3059417027046,25.0503170588141,7.65,31.7,79,2,2074,2.75,4109.18
Uttar Pradesh,Lucknow,Rice,Sona-Masoori (South India),887.5915653326399,29.42869427769951,5.25,9.0,64,7,6794,1.78,5465.84
Uttar Pradesh,Varanasi,Maize,HQPM-1 (Karnataka/AP),1007.1603585253688,32.749556055198305,6.08,16.9,70,7,2784,2.63,4781.76
Andhra Pradesh,Nellore,Sugarcane,Co-86032 (Tamil Nadu/AP),926.9879120423394,27.54332883888937,6.32,10.3,71,2,2780,0.84,80757.9
Maharashtra,Pune,Maize,Kaveri-50 (South India),745.6752325604887,29.94501418301707,7.01,26.7,63,5,1879,2.2,4377.46
Karnataka,Bengaluru Rural,Wheat,HW-2045 (North India),1077.6061335228624,23.80454376898156,5.91,33.2,61,1,5720,1.97,4077.26
Karnataka,Belagavi,Cotton,RCH-659 (South & Central India),563.7783048047002,20.000480537605085,6.24,36.6,53,2,3432,4.6,561.2
Andhra Pradesh,Guntur,Wheat,HD-2967 (North-West India),1667.8341754015005,19.879673758861426,7.32,21.6,80,4,6943,0.65,5631.14
Punjab,Patiala,Sugarcane,Co-0238 (UP/North India),830.6791693405966,28.312266687759188,6.25,20.0,54,3,1507,2.49,80390.48
Uttar Pradesh,Kanpur,Rice,Sona-Masoori (South India),934.1763306893156,27.31113068977343,6.76,8.5,39,5,4681,2.38,5353.92
Uttar Pradesh,Varanasi,Maize,NK-6240 (Maharashtra/AP),526.1863704991996,23.167582854491307,5.9,13.5,45,2,2690,4.87,3150.74
Punjab,Amritsar,Cotton,JKCH-1947 (Gujarat/MH),569.9853585230519,24.16618328553315,7.32,22.6,70,2,5458,2.28,1362.67
Andhra Pradesh,Nellore,Sugarcane,Co-86032 (Tamil Nadu/AP),892.0022258659004,23.730712615672022,5.64,37.9,66,4,1966,1.51,79858.73
Karnataka,Dharwad,Wheat,HW-2045 (North India),554.0516172777266,31.79057666878472,5.23,31.7,50,1,6232,1.33,2503.36
Punjab,Jalandhar,Wheat,HW-2045 (North India),709.9519195647753,24.46576166229448,6.92,11.7,61,4,5619,4.26,2969.98
Uttar Pradesh,Agra,Cotton,RCH-659 (South & Central India),770.0436944566153,28.159540281472648,5.6,26.5,56,5,3340,0.74,1303.99
Karnataka,Mysuru,Sugarcane,Co-86032 (Tamil Nadu/AP),1056.5889265216551,24.270036970365744,5.57,17.3,63,6,4106,3.47,80971.94
Karnataka,Mysuru,Sugarcane,Co-0238 (UP/North India),739.5386297387056,29.254818085080025,6.23,33.5,80,0,4425,4.6,79878.92
Karnataka,Dharwad,Sugarcane,Co-94012 (South India),866.1560971166607,33.89755241010815,7.28,19.5,65,6,1996,3.93,80017.81
Telangana,Karimnagar,Wheat,HD-2967 (North-West India),969.5964238302206,31.39314388536592,6.77,28.8,86,5,4276,1.92,4830.54
Karnataka,Mysuru,Wheat,PBW-343 (Punjab/Haryana),925.4333387018656,21.64087748334849,6.29,18.0,64,1,2297,1.02,4484.55
Uttar Pradesh,Kanpur,Sugarcane,Co-86032 (Tamil Nadu/AP),898.3548866717456,31.80625202919976,6.79,30.7,73,5,5543,2.22,79984.59
Uttar Pradesh,Kanpur,Maize,HQPM-1 (Karnataka/AP),1145.8691101406405,25.958611749108,5.97,28.1,60,2,2221,2.62,5775.86
Karnataka,Bengaluru Rural,Wheat,PBW-343 (Punjab/Haryana),1161.5282764618937,34.10838807584382,7.7,24.1,79,1,3439,2.46,4364.94
Telangana,Nalgonda,Maize,Kaveri-50 (South India),831.3216149193624,27.856169617705955,7.46,17.1,67,1,3930,4.59,4049.23
Maharashtra,Nashik,Sugarcane,Co-94012 (South India),1089.7397236481338,22.42334306690676,6.39,22.4,70,6,3444,3.71,80424.42
Uttar Pradesh,Varanasi,Wheat,HW-2045 (North India),891.947407991384,24.69652114922225,5.33,37.8,59,4,2175,1.61,3610.22
Andhra Pradesh,Krishna,Wheat,HW-2045 (North India),331.96458610734817,21.938536391327787,6.14,29.1,64,4,2844,0.54,2044.59
Karnataka,Dharwad,Cotton,RCH-659 (South & Central India),915.795917201939,28.34670244512525,5.56,17.6,57,6,4368,2.78,1872.6
Karnataka,Mysuru,Cotton,Bollgard-II (Maharashtra),941.438152963092,30.567167468009337,7.67,34.7,50,7,6960,3.08,1514.4
Telangana,Nalgonda,Maize,HQPM-1 (Karnataka/AP),1171.234510659791,31.631744966512542,6.31,18.2,76,0,3363,4.86,4776.92
Uttar Pradesh,Agra,Wheat,HD-2967 (North-West India),1330.810129126471,20.90390588935964,7.01,18.0,48,1,5246,3.97,4890.79
Karnataka,Belagavi,Maize,HQPM-1 (Karnataka/AP),990.8011836318934,26.612788656262417,6.28,20.3,53,2,5047,0.57,4667.39
Maharashtra,Aurangabad,Sugarcane,Co-86032 (Tamil Nadu/AP),585.2108894648075,31.20737204889715,6.56,15.1,85,6,4196,0.78,79769.05
Telangana,Karimnagar,Wheat,HW-2045 (North India),627.2538761908854,27.19452896583337,7.09,39.8,56,6,2049,3.45,3604.08
Maharashtra,Pune,Maize,Kaveri-50 (South India),1112.6646319728948,23.81210503627277,6.33,30.6,58,5,4075,2.12,4887.58
Telangana,Karimnagar,Wheat,HW-2045 (North India),,31.383131636841263,,,75,7,5750,1.51,4726.72
Telangana,Khammam,Cotton,JKCH-1947 (Gujarat/MH),839.1001230617345,32.83178993595428,6.31,20.9,77,3,6953,4.3,1509.65
Uttar Pradesh,Varanasi,Sugarcane,Co-86032 (Tamil Nadu/AP),1141.090682590445,18.926330440105417,6.51,26.4,82,6,3468,4.18,80865.59
Maharashtra,Aurangabad,Rice,MTU-1010 (AP/Telangana),578.0542880768439,30.67512757393145,6.3,11.9,78,2,6493,2.86,4652.68
Uttar Pradesh,Agra,Maize,Kaveri-50 (South India),461.1853000840092,28.78120857364643,6.89,31.3,74,3,3246,2.19,3340.15
Karnataka,Bengaluru Rural,Cotton,Bollgard-II (Maharashtra),552.8928117357696,26.343599615767435,5.8,32.3,59,2,5329,0.97,588.61
Maharashtra,Aurangabad,Rice,IR-64 (Andhra/Telangana),1164.8350755515532,29.937082720403414,5.72,21.8,58,0,1879,4.01,5021.1
Karnataka,Belagavi,Rice,MTU-1010 (AP/Telangana),992.2287822072988,27.720874925222084,5.7,24.1,65,1,3370,1.19,4942.73
Maharashtra,Pune,Wheat,PBW-343 (Punjab/Haryana),596.5719502566874,30.52261927410201,6.81,15.7,77,2,4165,4.17,2553.98
Maharashtra,Aurangabad,Maize,Kaveri-50 (South India),606.5455007253939,21.63455942406853,6.15,18.0,50,2,3722,0.59,3430.42
Maharashtra,Nagpur,Sugarcane,Co-0238 (UP/North India),711.2415010223754,34.13811424000875,6.47,24.5,57,4,3247,2.82,79513.81
Karnataka,Bengaluru Rural,Cotton,Bollgard-II (Maharashtra),1113.2651140129028,31.447737449308896,6.26,32.1,57,5,4551,1.72,2378.65
Maharashtra,Aurangabad,Rice,MTU-1010 (AP/Telangana),603.3832734305096,32.24947025836552,5.35,17.7,56,4,3273,3.58,3927.88
Karnataka,Bengaluru Rural,Wheat,HD-2967 (North-West India),1050.7340383912842,27.69009605556875,6.27,25.9,63,5,5180,3.72,4140.03
Uttar Pradesh,Kanpur,Sugarcane,Co-0238 (UP/North India),753.8751960945124,32.18387370766727,5.27,14.3,73,6,4179,0.86,80481.63
Punjab,Jalandhar,Rice,IR-64 (Andhra/Telangana),695.9942320134493,24.528011237204527,6.37,26.8,77,5,1600,0.88,4189.41
Maharashtra,Nagpur,Sugarcane,Co-86032 (Tamil Nadu/AP),712.9313363055761,26.0290758909441,5.77,22.8,65,4,2386,4.41,79723.98
Punjab,Patiala,Wheat,HD-2967 (North-West India),730.1451097642773,28.51703121756088,7.15,23.1,59,2,2322,4.62,3302.76
Uttar Pradesh,Lucknow,Rice,IR-64 (Andhra/Telangana),994.4046016050232,29.052865044108408,6.7,36.3,65,3,6323,2.3,4978.54
Uttar Pradesh,Agra,Maize,HQPM-1 (Karnataka/AP),843.3098008374639,29.854145118814447,4.7,32.4,62,5,5155,2.45,3979.34
Karnataka,Belagavi,Cotton,RCH-659 (South & Central India),1189.4046702624532,24.57686418532473,6.15,30.3,70,7,5815,0.93,1912.28
Telangana,Khammam,Cotton,JKCH-1947 (Gujarat/MH),932.103445670042,26.838464931783644,7.18,26.4,66,6,6800,1.17,1197.92
Andhra Pradesh,Krishna,Maize,NK-6240 (Maharashtra/AP),1117.6711973731003,28.360095838006448,7.77,9.0,60,0,3516,0.95,3916.02
Uttar Pradesh,Kanpur,Wheat,HW-2045 (North India),1248.225879550663,36.30877146348854,6.61,17.2,60,0,6161,2.93,3772.0
Telangana,Nalgonda,Sugarcane,Co-0238 (UP/North India),874.662969265758,23.239597868389904,6.58,18.9,93,2,6538,1.68,80009.52
Punjab,Jalandhar,Maize,NK-6240 (Maharashtra/AP),757.2452558353677,24.09849976245748,6.56,39.6,72,7,5639,3.35,4851.59
Telangana,Nalgonda,Wheat,HW-2045 (North India),793.2314648661738,22.56896432810664,6.41,27.2,64,4,2083,3.69,2638.48
Andhra Pradesh,Nellore,Rice,Sona-Masoori (South India),1011.3674912106924,26.45625909895193,6.77,39.4,65,6,6775,3.94,5156.58
Maharashtra,Aurangabad,Cotton,Bollgard-II (Maharashtra),1193.5593048517708,35.24693561469769,7.55,35.5,71,0,3016,4.72,1639.03
Karnataka,Belagavi,Wheat,HW-2045 (North India),1313.4088040074646,25.6283721839318,6.39,18.2,86,3,2517,0.8,4577.48
Karnataka,Belagavi,Sugarcane,Co-0238 (UP/North India),1126.6620964523208,28.481019521880675,6.68,11.8,48,7,6397,4.37,81260.85
Maharashtra,Pune,Cotton,RCH-659 (South & Central India),592.0328279667299,29.527545257778726,7.06,20.4,51,1,3470,1.78,439.12
Andhra Pradesh,Krishna,Cotton,JKCH-1947 (Gujarat/MH),858.5095671317688,26.202371556673235,6.61,26.9,74,5,1730,3.19,1054.91
Karnataka,Mysuru,Rice,IR-64 (Andhra/Telangana),745.7861667241057,30.46352818569796,7.09,31.4,63,1,3531,0.99,4518.14
Telangana,Nalgonda,Maize,HQPM-1 (Karnataka/AP),735.1752407873873,26.673459012499706,6.02,24.7,82,4,5799,4.67,4111.39
Telangana,Nalgonda,Cotton,RCH-659 (South & Central India),1069.2220511201788,27.11739309967386,6.51,17.2,72,7,3910,3.43,1977.66
Punjab,Patiala,Rice,IR-64 (Andhra/Telangana),749.8882586028313,28.80468528496741,5.96,20.2,61,2,5694,2.35,4120.34
Andhra Pradesh,Chittoor,Wheat,HW-2045 (North India),,26.78021830851315,,,66,4,4432,4.35,4570.62
Uttar Pradesh,Varanasi,Cotton,RCH-659 (South & Central India),714.1599991754721,26.04197122242373,7.36,38.4,52,1,6104,0.63,1230.07
Uttar Pradesh,Kanpur,Sugarcane,Co-94012 (South India),1168.0971980818451,27.82982277437895,5.96,13.0,71,0,6528,1.87,80970.71
Karnataka,Dharwad,Rice,IR-64 (Andhra/Telangana),676.6269372729803,27.149508913173005,7.01,15.0,60,5,2255,1.7,4481.27
Punjab,Patiala,Maize,Kaveri-50 (South India),919.0091526635256,24.35347599509517,5.19,13.4,82,5,6002,3.39,4330.97
Andhra Pradesh,Chittoor,Cotton,Bollgard-II (Maharashtra),638.226708125738,29.80360330032284,6.44,25.2,61,3,6927,4.66,669.15
Punjab,Jalandhar,Wheat,HW-2045 (North India),707.6426608417373,22.730613856603707,6.58,30.7,73,4,4646,1.42,3108.55
Uttar Pradesh,Varanasi,Maize,NK-6240 (Maharashtra/AP),807.1415103425214,28.116173905382976,5.88,28.9,55,3,6928,1.93,3602.74
Maharashtra,Nagpur,Wheat,HD-2967 (North-West India),758.126918806221,31.65479707572515,6.75,9.3,63,4,3421,4.06,3747.38
Andhra Pradesh,Guntur,Cotton,RCH-659 (South & Central India),942.2917187071328,29.596148634022683,7.28,16.7,59,6,1563,3.7,2263.92
Uttar Pradesh,Lucknow,Sugarcane,Co-94012 (South India),,25.86784823200408,,,62,1,2576,0.98,80023.67
Uttar Pradesh,Varanasi,Sugarcane,Co-94012 (South India),949.892281651128,27.936824908142324,6.61,19.0,77,6,4109,3.78,80296.28
Punjab,Patiala,Cotton,RCH-659 (South & Central India),812.331100090283,25.83371823679475,6.3,33.5,59,4,4467,4.1,1213.01
Karnataka,Dharwad,Wheat,HD-2967 (North-West India),1347.9408375031649,25.5989466015114,6.78,27.0,67,3,2855,4.76,4806.5
Karnataka,Belagavi,Cotton,RCH-659 (South & Central India),1113.4226495779724,26.374823091986315,6.79,24.1,62,1,4100,1.0,1647.35
Uttar Pradesh,Agra,Sugarcane,Co-86032 (Tamil Nadu/AP),570.2070105419691,26.94987525024441,6.19,15.7,65,7,2497,4.09,80126.04
Karnataka,Mysuru,Maize,HQPM-1 (Karnataka/AP),1048.2377023562824,24.86717912215395,7.12,16.0,68,1,3897,2.6,4945.97
Andhra Pradesh,Guntur,Rice,Sona-Masoori (South India),872.8539595549025,29.59332295472109,6.26,26.3,60,3,6062,4.86,4721.32
